program_name,url,overview,tuition,duration,location,deadline,admission_requirements,apply,curriculum,careers,contact,Col13,Col14
Applied Linguistics Phd,https://graduate.gsu.edu/program/applied-linguistics-phd,"The Doctor of Philosophy (Ph.D.) program in Applied Linguistics is a response to societal needs resulting from the status of English as the language of international communication. This worldwide use of English in programs and institutions of higher education has created needs in two areas:

- Research on an assortment of interrelated topics, including language learning by adults who will use English for academic purposes, effective teaching of adult language learners and the nature of English as an academic language.
- Doctoral faculty who can teach in educational programs that prepare master’s level teachers of English as a Second/Foreign Language.",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,"In the first two years of doctoral study, students will take five required core courses (15 semester hours) in conjunction with an additional 15 semester hours of coursework and 21 semester hours of dissertation credit. After students complete their coursework, they take comprehensive exams. Students receive three topics and have two weeks to write responses to all three. The questions will require students to address issues in theory, research methodology, research topics of importance in the field and/or topics related to the student’s intended dissertation research. When students have passed their comprehensive exams, they officially begin work on their dissertation. The dissertation process consists of three stages: a proposal, research and writing, and an oral defense.",Atlanta Campus,"Application due date:

- Fall: January 15
- Spring: Does not admit
- Summer: Does not admit",https://graduate.gsu.edu/program/applied-linguistics-phd,https://graduate.gsu.edu/program/applied-linguistics-phd,https://graduate.gsu.edu/program/applied-linguistics-phd,Please visit the [Applied Linguistics Ph.D. Webpage](https://graduate.gsu.edu/program/applied-linguistics-phd/) to view potential career paths.,"Department of Applied Linguistics and English as a Second Language<br><br>
25 Park Place NE, 15th Floor<br>
404-413-5200<br>
alsl.gsu.edu<br><br>

Director of Graduate Studies<br>
YouJin Kim<br>
404-413-5188",,Applied Linguistics Phd
Art Education Ma,https://graduate.gsu.edu/program/art-education-ma,"The Master of Art Education (M.A.Ed.)is an advanced degree in art education structured to build a community of collegial professionals who demonstrate disciplinary expertise, including knowledge of the content of art education, skill with sound pedagogical strategies, understanding of current scholarship and issues in the field and the ability to positively affect student learning. Emphasis is placed on the teaching of diverse learners in urban and metropolitan settings.",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,36 semester hours of graduate coursework must be completed,Atlanta Campus,"- Fall: February 1
- Spring: Does not admit
- Summer: Does not admit",https://graduate.gsu.edu/program/art-education-ma,https://graduate.gsu.edu/program/art-education-ma,https://graduate.gsu.edu/program/art-education-ma,"The graduate program leads students to career paths such as graphic, interior and Web designers, multimedia artists, curators, gallery directors, museum and non-profit arts managers, art administrators, K-12 art teachers, art educators, art historians and writers, creative directors at advertising and marketing firms, props and set design fabricators, and art appraisers, among others.","Graduate Coordinator<br>
Wesley Harvey<br>
wharvey@gsu.edu",,Art Education Ma
Art Education Mat,https://graduate.gsu.edu/program/art-education-mat,"Master of Arts in Teaching, Art Education (M.A.T.) : Students seeking a teaching certification at the graduate level may apply to the M.A.T. in Art Education. Candidates for the M.A.T. may be asked to complete additional coursework as advised by graduate faculty based on the portfolio review. Students in this program may be artists who have worked in the community, experienced art teachers or recent art graduates.",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,43 semester hours of graduate coursework must be completed,Atlanta Campus,"- Fall: February 1
- Spring: Does not admit
- Summer: Does not admit",https://graduate.gsu.edu/program/art-education-mat,https://graduate.gsu.edu/program/art-education-mat,https://graduate.gsu.edu/program/art-education-mat,"The graduate program leads students to career paths such as graphic, interior and web designers, multimedia artists, curators, gallery directors, museum and non-profit arts managers, art administrators, K-12 art teachers, art educators, art historians and writers, creative directors at advertising and marketing firms, props and set design fabricators, and art appraisers, among others.","Graduate Coordinator<br>
Wesley Harvey<br>
wharvey@gsu.edu",,Art Education Mat
Art History Dual Undergraduate Graduate,https://graduate.gsu.edu/program/art-history-dual-undergraduate-graduate,The Ernest G. Welch School of Arts & Design and The College of the Arts offer a dual undergraduate/graduate degree program in Art History. The program provides students with the opportunity to complete a bachelor’s and a master’s degree in as short a period as five years.,Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,90 credit hours,Atlanta Campus,"The deadlines for submitting applications are as follows (although earlier submission is encouraged):

- Spring Application Deadline: October 15
- Fall Application Deadline: March 16",https://graduate.gsu.edu/program/art-history-dual-undergraduate-graduate,https://graduate.gsu.edu/program/art-history-dual-undergraduate-graduate,https://graduate.gsu.edu/program/art-history-dual-undergraduate-graduate,"The graduate program leads students to career paths such as graphic, interior and Web designers, multimedia artists, curators, gallery directors, museum and non-profit arts managers, art administrators, kindergarten through 12th grade art teachers, art educators, art historians and writers, creative directors at advertising and marketing firms, props and set design fabricators and art appraisers, among others.","Susan Richmond<br>
srichmond@gsu.edu",,Art History Dual Undergraduate Graduate
Art History Ma,https://graduate.gsu.edu/program/art-history-ma,"The graduate Art History program in the Ernest G. Welch School of Art & Design emphasizes the study of visual art in relation to the historical and cultural contexts in which it was created. Students receive training in various time periods and geographical areas of art history, while also gaining depth of knowledge in a particular specialization. The M.A. is a two-year degree program with thesis and non-thesis tracks. Coursework takes the form of mixed-level lecture classes, graduate-only seminars, including Methodology and Historiography of Art, and electives in subjects outside art history. The program is open to students with undergraduate degrees in art history as well as those with degrees in other fields who have completed upper-level coursework in art history. It provides a foundation for individuals who wish to pursue careers in museums and galleries, as well as undertake doctoral studies.",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,36 semester hours of graduate coursework must be completed,Atlanta Campus,"- Fall: February 1
- Spring: Does Not Admit
- Summer: Does Not Admit",https://graduate.gsu.edu/program/art-history-ma,https://graduate.gsu.edu/program/art-history-ma,https://graduate.gsu.edu/program/art-history-ma,"The graduate program leads students to career paths such as graphic, interior and Web designers, multimedia artists, curators, gallery directors, museum and non-profit arts managers, art administrators, K-12 art teachers, art educators, art historians and writers, creative directors at advertising and marketing firms, props and set design fabricators, and art appraisers, among others.","Graduate Coordinator<br>
Wesley Harvey<br>
wharvey@gsu.edu",,Art History Ma
Artificial Intelligence Business Innovation Graduate Certificate,https://graduate.gsu.edu/program/artificial-intelligence-business-innovation-graduate-certificate,"The Artificial Intelligence Innovation Certificate program is designed with the citizen data scientist in mind. You will examine AI-related concepts that lead to discovery of innovative solutions to business challenges. Key topics include data programming, machine learning, and predictive analytics.","Georgia residents: $4,058 per semester<br>
Non-Georgia residents: $8,912 per semester<br>
Nonrefundable seat deposit: $250<br><br>

Tuition is subject to change.<br><br>
Please note: the above tuition rates apply to new non-degree-seeking students. Current master's students who embed a certificate within their degree will be charged at a different rate.","Two semesters. Two courses per semester.<br><br>

All required classes to earn the graduate certificate can be completed online.","Atlanta Campus, Online","The Robinson College of Business reviews applications on a rolling basis. The deadlines below are intended to serve as benchmarks. Due to our rolling admissions process, we encourage you to apply as early as possible.<br><br>
Applicants can expect to receive a decision within six weeks of the Office of Graduate Admissions receiving all required materials.<br><br>

Students can enter the program in the fall or spring.",https://graduate.gsu.edu/program/artificial-intelligence-business-innovation-graduate-certificate,https://graduate.gsu.edu/program/artificial-intelligence-business-innovation-graduate-certificate,https://graduate.gsu.edu/program/artificial-intelligence-business-innovation-graduate-certificate,"The mission of the Graduate Certificate in Artificial Intelligence Business Innovation is to produce “citizen data scientists”—professionals who may not have deep programming skills but, with the right tools, are capable of leveraging advanced technologies as well as working with and leading teams of data scientists to create value and realize the potential of artificial intelligence.","Your recruiter is here to answer your questions and help you prepare a strong application.<br><br>
Set up an [appointment with your recruiter](https://go.oncehub.com/LindsayFortnerConsultation)<br><br>

Lindsay Fortner, program recruiter<br>
lfortner@gsu.edu<br>
404-413-7148",,Artificial Intelligence Business Innovation Graduate Certificate
Artist Certificate Concentration In Jazz Studies Acerm,https://graduate.gsu.edu/program/artist-certificate-concentration-in-jazz-studies-acerm,"The Artist Certificate in Music is a post-master’s certificate in either performance or conducting. The program is 18 semester hours and takes two semesters to complete. To be admitted into the Artist Certificate program, students must have either a master’s degree in music or equivalent professional experience.",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,Minimum of 18 semester hours of graduate coursework must be completed in 2 semesters (1 year),Atlanta Campus,"- Spring – November 15 (All concentrations except Conducting)
- Summer – March 1 (Music Education concentration and non-degree programs only)
- Fall – June 1 (All concentrations)",https://graduate.gsu.edu/program/artist-certificate-concentration-in-jazz-studies-acerm,https://graduate.gsu.edu/program/artist-certificate-concentration-in-jazz-studies-acerm,https://graduate.gsu.edu/program/artist-certificate-concentration-in-jazz-studies-acerm,"The graduate program leads students to career paths such as solo performance artists, composers, placement in prestigious professional classical, jazz and operatic ensembles, private, K-12, and college music educators, scholars and entrepreneurs, among others.","Coordinator of Jazz Studies<br><br>
Dr. Gordon Vernick<br>
gvernick@gsu.edu404-413-5913<br>
404-413-5913<br><br>
Graduate Director<br><br>
Dr. Lara Saville Dahl<br>
laradahl@gsu.edu<br>
404-413-5965",,Artist Certificate Concentration In Jazz Studies Acerm
Artist Certificate Concentration In Organ Performance Acerm,https://graduate.gsu.edu/program/artist-certificate-concentration-in-organ-performance-acerm,"The Artist Certificate in Music is a post-master’s certificate in either performance or conducting. The program is 18 semester hours and takes two semesters to complete. To be admitted into the Artist Certificate program, students must have either a master’s degree in music or equivalent professional experience.",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,Minimum of 18 semester hours of graduate coursework must be completed in 2 semesters (1 year),Atlanta Campus,"- Spring – November 15 (All concentrations except Conducting)
- Summer – March 1 (Music Education concentration and non-degree programs only)
- Fall – June 1 (All concentrations)",https://graduate.gsu.edu/program/artist-certificate-concentration-in-organ-performance-acerm,https://graduate.gsu.edu/program/artist-certificate-concentration-in-organ-performance-acerm,https://graduate.gsu.edu/program/artist-certificate-concentration-in-organ-performance-acerm,"The graduate program leads students to career paths such as solo performance artists, composers, placement in prestigious professional classical, jazz and operatic ensembles, private, K-12, and college music educators, scholars and entrepreneurs, among others.","Area Coordinator for Organ Studies<br><br>
Jens Korndörfer, D.Mus.<br>
jkorndoerfer@gsu.edu<br>
404-228-7731<br><br>

Graduate Director<br><br>
Dr. Lara Saville Dahl<br>
laradahl@gsu.edu<br>
404-413-5965",,Artist Certificate Concentration In Organ Performance Acerm
Astronomy Ph D,https://graduate.gsu.edu/program/astronomy-ph-d,"Astronomers at Georgia State are involved in four main areas of research:
- Black Holes and Active Galaxies
- Stars and Extrasolar Planets
- Solar Physics
- High Angular Resolution Imaging<br><br>
To learn more, please visit the [Astronomy Ph.D. Webpage](https://graduate.gsu.edu/program/astronomy-ph-d/).","Tuition is waived for our PhD students, who earn a stipend of $22,000-25,000 for teaching and research. Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/) for student fees which still apply.","The average time to degree is six years

",Atlanta Campus,"- Fall: January 22
- Spring: Does not admit
- Summer: Does not admit",https://graduate.gsu.edu/program/astronomy-ph-d,https://graduate.gsu.edu/program/astronomy-ph-d,https://graduate.gsu.edu/program/astronomy-ph-d,"Our alumni work at NASA, on the faculty of research and teaching universities, and as postdoctoral researchers.","Director of Graduate Studies for Astronomy<br><br>
Dr. Russel White<br>
white@astro.gsu.edu",,Astronomy Ph D
Biology Bs Ms,https://graduate.gsu.edu/program/biology-bs-ms,"Dual-degree opportunities enable qualified students to enroll in graduate courses late in their undergraduate program and apply the coursework toward both the bachelor’s and master’s programs. That can mean saving a year or more in time and tuition dollars.<br><br>
Students must be formally accepted into the dual-degree program by the department and College of Arts and Sciences to be able to take graduate courses as an undergraduate. Acceptance into the dual program does not constitute admission to the master’s program. Students must fulfill regular graduate admissions requirements and apply for the master’s program following college processes.","Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.<br><br>
Tuition waivers and stipends are offered on a competitive basis. ",Five years,Atlanta Campus,"Students may enter the program in the fall, spring or summer.",https://graduate.gsu.edu/program/biology-bs-ms,https://graduate.gsu.edu/program/biology-bs-ms,https://graduate.gsu.edu/program/biology-bs-ms,"Career Opportunities:<br/><br/>
- teacher
- dental hygienist
- physician
- surgeon
- science journalist
- forensic scientist
- teacher
- dental hygienist
- physician
- surgeon
- biochemist
- microbiologist
- biological technician
- medical technician
- medical manager
- lab manager
- phlebotomist
- environmental scientist
- food scientist
- forensic scientist","Assistant Director<br><br>
Rene Mondy<br>
404-413-5125<br>
reneprestimondy@gsu.edu",,Biology Bs Ms
